Fruit,CLUSTERS,DEFECTS,FAT,FRUCTOSE,GROWTH LOCATION,HARDNESS,MATURITY,NUMBER OF SEEDS,PROCESSED,PURCHASED,SIZE,SKIN HARDNESS,SKIN ROUGHNESS,TYPE,WATER,YEARLY TREE
apple_6,0,0,0,2,2,1,1,2,0,0,2,0,0,0,2,1
apple_braeburn_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_crimson_snow_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_golden_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_golden_2,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_golden_3,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_granny_smith_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_hit_1,0,1,0,2,2,0,1,2,0,0,2,0,0,0,2,1
apple_pink_lady_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,0,1
apple_red_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_red_2,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_red_3,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_red_delicios_1,0,0,0,2,2,1,1,2,0,1,2,0,0,0,2,1
apple_red_yellow_1,0,0,0,2,2,1,1,2,0,0,2,0,0,0,2,1
apple_rotten_1,0,1,0,2,2,0,1,4,0,0,3,0,0,0,1,1
cabbage_white_1,0,0,0,0,1,1,1,0,0,1,3,0,2,1,2,0
carrot_1,0,0,0,2,0,1,1,0,0,1,2,0,1,1,2,0
cucumber_1,0,0,0,0,2,1,1,4,0,0,2,0,1,1,2,0
cucumber_3,0,0,0,0,2,1,1,4,0,0,2,0,1,1,2,0
eggplant_long_1,0,0,0,0,2,1,1,4,0,1,4,0,0,1,2,0
pear_1,0,1,0,2,2,0,1,4,0,0,3,0,0,0,1,1
pear_3,0,1,0,2,2,0,1,4,0,0,3,0,0,0,1,1
zucchini_1,0,0,0,0,1,1,1,4,0,1,2,0,0,1,2,0
zucchini_dark_1,0,0,0,0,1,1,1,4,0,1,2,0,0,1,2,0
